"Loc1.x","Loc1.y","Loc2.x","Loc2.y","Dist","TuningCor","z"
5,10,4,10,400,0.803,1.9873417721519
5,10,1,9,1649,-0.044,1.24888392857143
5,10,1,9,1649,0.095,0.710286062081558
5,10,6,8,894,0.389,0.369818652849741
5,10,6,8,894,0.615,0.436980166346769
5,10,5,8,800,0.782,1.17671517671518
5,10,5,8,800,0.85,1.24065573770492
5,10,10,7,2332,0.553,0.464930376482723
5,10,9,7,2000,0.855,2.03153153153153
5,10,9,7,2000,0.798,1.06943335993615
5,10,4,7,1265,0.474,0.448755490483163
5,10,4,7,1265,0.286,-0.0114734299516908
5,10,4,7,1265,0.473,0.151367781155015
5,10,3,7,1442,0.704,0.978299120234604
5,10,8,6,2000,0.608,0.411931818181818
5,10,8,6,2000,0.554,0.540223463687151
5,10,8,6,2000,0.716,1.21818181818182
5,10,7,6,1789,0.137,0.222222222222222
5,10,2,6,2000,-0.105,0.80565371024735
5,10,1,1,3940,0.128,-0.0867093105899076
5,10,1,1,3940,0,0.422866092404072
5,10,6,5,2040,0.043,0.249118683901293
5,10,6,5,2040,0.285,0.352414136386262
5,10,5,5,2000,0.713,1.71952259164535
5,10,10,4,3124,0.565,-0.123066869962971
5,10,9,4,2884,0.1,0.10607476635514
5,10,4,4,2433,0.246,1.49439880507842
5,10,4,4,2433,0.222,-0.837101063829787
5,10,3,4,2530,0.389,-0.0587121212121212
5,10,3,4,2530,0.519,0.425084175084175
5,10,8,3,3046,0.103,1.04898530440868
5,10,7,3,2912,0.016,1.20283018867925
5,10,7,3,2912,-0.036,1.41196777905639
5,10,7,3,2912,0.276,2.39970824215901
5,10,1,3,3225,0,0.0116076610562972
5,10,1,3,3225,0.065,0.204430532145437
5,10,6,2,3225,-0.135,-1.01589958158996
5,10,8,1,3795,-0.084,-0.420255183413078
5,10,8,1,3795,-0.115,0.104623513870542
5,10,3,1,3688,-0.177,0.0363153232949513
5,10,2,1,3795,-0.243,-1.82196339434276
5,10,6,10,400,0.164,0.850947918936588
5,10,7,8,1131,0.681,1.79688436189335
5,10,7,8,1131,0.483,1.35111876075731
5,10,8,8,1442,-0.146,2.04227517294389
5,10,8,8,1442,-0.137,0.723918575063613
5,10,1,8,1789,0.157,0.468562055768179
5,10,5,7,1200,0.668,1.08134328358209
5,10,5,7,1200,0.727,1.50741839762611
5,10,6,7,1265,0.003,0.0660714285714286
5,10,6,7,1265,-0.076,1.07763082231167
5,10,6,7,1265,-0.125,0.743833017077799
5,10,9,6,2263,0.009,0.788302051505893
5,10,9,6,2263,0.074,0.153988868274583
5,10,10,6,2561,0.442,0.99578567128236
5,10,10,6,2561,0.58,0.358067299396031
5,10,3,6,1789,0.715,1.05400192864031
5,10,3,6,1789,0.794,-0.0222996515679443
5,10,4,6,1649,0.45,1.07372793354102
5,10,4,6,1649,0.197,-0.692828146143437
5,10,4,6,1649,0.231,-0.998430141287284
5,10,7,5,2154,0.494,-0.518139534883721
5,10,8,5,2332,0.627,1.30826507818317
5,10,8,5,2332,0.545,0.16482582837723
5,10,1,5,2561,0.665,-0.136892539356605
5,10,2,5,2332,0.623,1.20982142857143
5,10,5,4,2400,-0.096,0.532130777903044
5,10,5,4,2400,0.49,0.359477124183007
5,10,6,4,2433,-0.006,0.498432601880878
5,10,6,4,2433,0.214,-0.638202247191011
5,10,9,3,3225,0.384,1.8340395480226
5,10,9,3,3225,0.398,-1.2198256080771
5,10,3,3,2912,0.236,0.380614657210402
5,10,3,3,2912,0.392,0.624312767257178
5,10,4,3,2828,0.028,-1.02193475815523
5,10,4,3,2828,0.051,0.0615733736762481
5,10,4,3,2828,0.184,-0.973005398920216
5,10,8,2,3418,-0.343,0.490378234903782
5,10,1,2,3578,0.088,-0.489154013015184
5,10,1,2,3578,0.22,0.25155601659751
5,10,1,2,3578,-0.007,-0.475563909774436
5,10,2,2,3418,0.333,-0.419668150546338
5,10,2,2,3418,0.323,-1.81
5,10,4,1,3622,0.109,-0.0884353741496599
5,10,5,1,3600,-0.057,-0.0755864465682016
5,10,3,10,800,0.635,1.49214659685864
5,10,2,10,1200,0.624,1.84030226700252
5,10,9,8,1789,0.48,0.730761582819646
5,10,8,7,1697,0.452,0.879763469119579
5,10,8,7,1697,0.325,0.93356401384083
5,10,7,7,1442,0.46,1.72234762979684
5,10,7,7,1442,-0.12,0.430356737105203
5,10,2,7,1697,0.069,0.470472440944882
5,10,2,7,1697,0.065,0.0227776020246757
5,10,1,7,2000,0.486,0.790765634132087
5,10,1,7,2000,0.775,0.796239210850801
5,10,6,6,1649,0.734,0.495145631067961
5,10,5,6,1600,0.655,0.312982456140351
5,10,5,6,1600,0.658,0.00661703887510339
5,10,10,5,2828,0.181,1.59602237414543
5,10,9,5,2561,0.261,0.645618556701031
5,10,4,5,2040,0,2.14364261168385
5,10,3,5,2154,0.002,1.73644474948524
5,10,3,5,2154,-0.152,0.0415879017013233
